DR_NO,Date Rptd,DATE OCC,TIME OCC,newdate,formatted_newdate,serialdate,day,month,year,weekday,time_text,time_serial,time,time,date_time,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200206684,2/23/20 0:00,2/23/20 0:00,315,02/23/2020,02/23/2020,43884,23,2,2020,Wed,0.135416667,03:15,3:15 AM,3:15 AM,02/23/2020 0.135416666666667,2,Rampart,256,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 2002 0334 0445 1601 0913,37,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,236,,,,600 S  UNION                        AV,,34.0565,-118.2724
200104417,1/6/20 0:00,1/6/20 0:00,2100,01/06/2020,01/06/2020,43836,6,1,2020,Thu,0.875,21:00,9:00 PM,9:00 PM,01/06/2020 0.875,1,Central,182,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0319 1276 1414 1813 2000 0444 0416,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
200104511,1/8/20 0:00,1/8/20 0:00,400,01/08/2020,01/08/2020,43838,8,1,2020,Thu,0.166666667,04:00,4:00 AM,4:00 AM,01/08/2020 0.166666666666667,1,Central,154,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1414 0416 1402 2000 1814 1218 2004,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",302,BLUNT INSTRUMENT,AA,Adult Arrest,236,998,,,500 S  SPRING                       ST,,34.0474,-118.2496
200104664,1/9/20 0:00,1/9/20 0:00,1900,01/09/2020,01/09/2020,43839,9,1,2020,Mon,0.791666667,19:00,7:00 PM,7:00 PM,01/09/2020 0.791666666666667,1,Central,156,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0906 0913 2000 1814 0408 1218 2004,45,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,500    WALL                         ST,,34.0449,-118.2458
200104674,1/9/20 0:00,1/9/20 0:00,2130,01/09/2020,01/09/2020,43839,9,1,2020,Sun,0.895833333,21:30,9:30 PM,9:30 PM,01/09/2020 0.895833333333333,1,Central,138,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0411 0913 1402 1414 1814 0329,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",216,SCISSORS,AA,Adult Arrest,236,998,,,200 S  LOS ANGELES                  ST,,34.0503,-118.2433
200104881,1/13/20 0:00,1/12/20 0:00,2300,01/13/2020,01/13/2020,43843,13,1,2020,Sat,0.958333333,23:00,11:00 PM,11:00 PM,01/13/2020 0.958333333333333,1,Central,156,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2004 0913 2000 0416 1814 1218,46,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,6TH                          ST,WALL                         ST,34.0428,-118.2461
202106752,3/1/20 0:00,3/1/20 0:00,800,03/01/2020,03/01/2020,43891,1,3,2020,Sat,0.333333333,08:00,8:00 AM,8:00 AM,03/01/2020 0.333333333333333,21,Topanga,2126,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1243 0408 0444 0429,41,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,21000    LULL                         ST,,34.2094,-118.5906
200105235,1/18/20 0:00,1/18/20 0:00,725,01/18/2020,01/18/2020,43848,18,1,2020,Mon,0.309027778,07:25,7:25 AM,7:25 AM,01/18/2020 0.309027777777778,1,Central,111,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2004 2000 1814 0913 0444 0416 0408 0401 1414,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
200105259,1/18/20 0:00,1/18/20 0:00,2350,01/18/2020,01/18/2020,43848,18,1,2020,Mon,0.993055556,23:50,11:50 PM,11:50 PM,01/18/2020 0.993055555555555,1,Central,118,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000 1814 0444 1402 0907 0913 0906,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,998,,,00 E  BLOOM                        ST,,34.0648,-118.2303
200511186,6/29/20 0:00,6/29/20 0:00,1020,06/29/2020,06/29/2020,44011,29,6,2020,Tue,0.430555556,10:20,10:20 AM,10:20 AM,06/29/2020 0.430555555555556,5,Harbor,567,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0408 0411 2000,42,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,1400 S  PALOS VERDES                 ST,,0,0
200105830,1/27/20 0:00,1/27/20 0:00,1125,01/27/2020,01/27/2020,43857,27,1,2020,Wed,0.475694444,11:25,11:25 AM,11:25 AM,01/27/2020 0.475694444444444,1,Central,123,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000 1218 0913 1402 0408 2004 1814,29,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,998,,,BROADWAY                     AV,1ST                          ST,34.0524,-118.2467
200105919,1/28/20 0:00,1/12/20 0:00,330,01/28/2020,01/28/2020,43858,28,1,2020,Sun,0.145833333,03:30,3:30 AM,3:30 AM,01/28/2020 0.145833333333333,1,Central,144,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1243 0444 0429,36,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,400 S  MAIN                         ST,,34.0478,-118.2484
200105943,1/29/20 0:00,1/29/20 0:00,730,01/29/2020,01/29/2020,43859,29,1,2020,Wed,0.3125,07:30,7:30 AM,7:30 AM,01/29/2020 0.3125,1,Central,157,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1414 0907 1402 2004 1218 0416 0401 2000 0913,25,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,998,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
200106244,2/2/20 0:00,2/2/20 0:00,140,02/02/2020,02/02/2020,43863,2,2,2020,Sat,0.069444444,01:40,1:40 AM,1:40 AM,02/02/2020 0.0694444444444444,1,Central,151,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2033 0416 2000 1814 0913,34,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",302,BLUNT INSTRUMENT,IC,Invest Cont,236,,,,900    WILSHIRE                     BL,,34.0501,-118.2592
200106493,2/5/20 0:00,2/5/20 0:00,1030,02/05/2020,02/05/2020,43866,5,2,2020,Thu,0.4375,10:30,10:30 AM,10:30 AM,02/05/2020 0.4375,1,Central,159,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1813 2000 0431 1218 2004,32,M,B,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,512,MACE/PEPPER SPRAY,IC,Invest Cont,236,,,,1200 E  6TH                          ST,,34.0382,-118.2384
201907299,3/7/20 0:00,3/2/20 0:00,2000,03/07/2020,03/07/2020,43897,7,3,2020,Mon,0.833333333,20:00,8:00 PM,8:00 PM,03/07/2020 0.833333333333333,19,Mission,1959,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0416 0408 1813 0444 0913,32,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,10100    BARTEE                       AV,,34.2537,-118.4355
200200504,1/2/20 0:00,1/2/20 0:00,1430,01/02/2020,01/02/2020,43832,2,1,2020,Tue,0.604166667,14:30,2:30 PM,2:30 PM,01/02/2020 0.604166666666667,2,Rampart,285,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0416 0445 0411 0913,30,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,OTHER KNIFE,AA,Adult Arrest,236,,,,1800 W  12TH                         ST,,34.0473,-118.2784
200200518,1/13/20 0:00,1/13/20 0:00,1800,01/13/2020,01/13/2020,43843,13,1,2020,Sun,0.75,18:00,6:00 PM,6:00 PM,01/13/2020 0.75,2,Rampart,235,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 0416 1813 1276 0913,30,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,200 S  PARK VIEW                    ST,,34.0672,-118.2741
200204316,1/7/20 0:00,1/6/20 0:00,1430,01/07/2020,01/07/2020,43837,7,1,2020,Sun,0.604166667,14:30,2:30 PM,2:30 PM,01/07/2020 0.604166666666667,2,Rampart,216,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1218 2004 0319 0408 0411 2060 2000 0913,38,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,SUNSET                       BL,ROSEMONT                     AV,34.0779,-118.266
200204553,1/12/20 0:00,1/12/20 0:00,1400,01/12/2020,01/12/2020,43842,12,1,2020,Mon,0.583333333,14:00,2:00 PM,2:00 PM,01/12/2020 0.583333333333333,2,Rampart,269,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 1813 0913 0334 0445 0446 0416 0369,43,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,700    HARTFORD                     AV,,34.0522,-118.2673
200204560,1/12/20 0:00,1/12/20 0:00,1100,01/12/2020,01/12/2020,43842,12,1,2020,Sat,0.458333333,11:00,11:00 AM,11:00 AM,01/12/2020 0.458333333333333,2,Rampart,266,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0334 2000,30,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,1600 W  7TH                          ST,,34.0539,-118.2712
200204636,1/13/20 0:00,1/13/20 0:00,2330,01/13/2020,01/13/2020,43843,13,1,2020,Sun,0.979166667,23:30,11:30 PM,11:30 PM,01/13/2020 0.979166666666667,2,Rampart,251,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 1218 2004 0416 0446 0408 0432 0913,27,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,LA FAYETTE P                 PL,WILSHIRE,34.0628,-118.2811
200205202,1/25/20 0:00,1/25/20 0:00,700,01/25/2020,01/25/2020,43855,25,1,2020,Tue,0.291666667,07:00,7:00 AM,7:00 AM,01/25/2020 0.291666666666667,2,Rampart,236,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1206 1601 0429 2033 0913,27,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,UNION,ROCKWOOD,34.0664,-118.2647
200110347,4/12/20 0:00,4/11/20 0:00,2350,04/12/2020,04/12/2020,43933,12,4,2020,Mon,0.993055556,23:50,11:50 PM,11:50 PM,04/12/2020 0.993055555555555,1,Central,121,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1414 0913 0431 2000 1814 1402,28,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",512,MACE/PEPPER SPRAY,IC,Invest Cont,236,998,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
201210500,4/7/20 0:00,4/7/20 0:00,215,04/07/2020,04/07/2020,43928,7,4,2020,Mon,0.09375,02:15,2:15 AM,2:15 AM,04/07/2020 0.09375,12,77th Street,1219,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0400 0416 0913,41,F,B,501,SINGLE FAMILY DWELLING,304,CLUB/BAT,IC,Invest Cont,236,,,,5200 S  FIGUEROA                     ST,,33.9957,-118.2827
200205634,2/3/20 0:00,2/3/20 0:00,1500,02/03/2020,02/03/2020,43864,3,2,2020,Sat,0.625,15:00,3:00 PM,3:00 PM,02/03/2020 0.625,2,Rampart,279,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1813 0416 0445,29,M,B,501,SINGLE FAMILY DWELLING,312,PIPE/METAL PIPE,AO,Adult Other,236,,,,1200 W  11TH                         ST,,34.0481,-118.2712
200205651,2/3/20 0:00,2/3/20 0:00,1900,02/03/2020,02/03/2020,43864,3,2,2020,Sun,0.791666667,19:00,7:00 PM,7:00 PM,02/03/2020 0.791666666666667,2,Rampart,245,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 1218 0416 0446 0408 0432 0913,47,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,300 S  ALVARADO                     ST,,34.061,-118.2775
200304230,1/4/20 0:00,1/4/20 0:00,2320,01/04/2020,01/04/2020,43834,4,1,2020,Sun,0.972222222,23:20,11:20 PM,11:20 PM,01/04/2020 0.972222222222222,3,Southwest,373,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 1202 2021 1821 1241 0408 2002 0913,63,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,3900    HUBERT                       AV,,34.0142,-118.3281
