docno,ethnic_cd,highschool_ged,mhneeds_lvl,subs_lvl_values,off_cat,off_mdesc,incident_cod,ldesc,fac_cd,lu_cd
391501,A,H,3,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,DC,4
803678,O,N,4,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,CU
606522,I,G,3,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,DC,4
482018,O,H,3,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,U2
966031,A,N,1,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,I7
841411,B,N,1,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,L2
568293,W,M,4,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,23
146773,A,M,5,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,YP,U2
627755,B,G,4,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,I4
939000,B,N,4,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,1
256013,I,H,5,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,34
889278,U,N,1,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,L2
320380,A,N,1,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,YP,I7
929254,I,N,5,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,I7
830558,H,N,3,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,6
867401,M,H,3,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,SF,23
938489,W,G,3,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,YP,I7
988639,M,H,5,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,SF,36
340468,H,N,1,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,YP,U2
808909,O,N,1,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,I4
673160,B,N,2,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,I7
650173,B,G,2,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,DC,4
606831,O,G,3,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,6
145372,A,H,1,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,34
442921,B,M,1,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,36
797967,H,M,1,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,SF,32
772986,A,N,1,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,YP,CU
358234,M,G,3,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,DC,2
516214,M,N,5,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,DC,2
780071,M,M,3,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,DC,3
120913,O,G,3,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,YP,L2
477125,U,N,2,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,SF,23
881054,M,H,1,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,I4
537691,B,G,3,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,23
627969,O,N,4,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,L2
710755,A,M,4,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,35
655534,U,N,1,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,34
869659,A,M,2,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,24
412982,W,N,4,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,I7
754177,H,M,4,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,SF,34
378923,A,G,1,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,YP,I7
743218,I,G,3,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,CU
245474,B,N,4,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,SF,4
673278,B,H,4,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,PD,PROPERTY DAMAGE,SF,23
397008,W,G,2,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,3
326966,M,N,5,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,YP,I7
749678,A,M,5,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,SF,36
343055,M,M,1,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,I7
614398,M,H,1,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,I7
752202,U,G,5,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,DC,1
951780,W,N,1,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,DC,4
260584,A,H,5,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,YP,1A
644738,U,N,1,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,DC,5
462910,A,G,5,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,DC,1
303987,H,G,4,2,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,YP,L2
345231,I,G,5,1,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,ES,ESCAPE W/ FORCE,SF,23
738721,M,H,5,3,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,SV,SEXUAL ACT,YP,U2
578513,H,M,3,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,SF,6
346804,M,N,5,5,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,AC,ACT OF SABOTAGE,YP,CU
418066,B,N,1,4,31,ABUSE OF PUBLIC OFFICE-MISDEMEANOR,UF,USE OF FORCE,YP,L2
177680,A,M,1,2,42,CRIMINAL ATTEMPT,PD,PROPERTY DAMAGE,SF,34
313638,B,N,2,3,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,DC,1
606710,U,N,3,1,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,SF,2
287062,W,M,4,4,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,CU
411500,H,M,1,5,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,YP,L2
308099,I,N,2,3,42,CRIMINAL ATTEMPT,PD,PROPERTY DAMAGE,YP,U2
834676,O,N,4,1,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,SF,31
495955,B,N,2,4,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,DC,5
804380,I,M,5,5,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,5
508402,W,N,2,1,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,5
950183,M,H,2,5,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,I4
812976,W,H,5,2,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,2
337884,I,N,5,1,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,5
654428,O,G,2,3,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,SF,7
525733,B,N,4,3,42,CRIMINAL ATTEMPT,PD,PROPERTY DAMAGE,DC,3
779505,M,H,4,5,42,CRIMINAL ATTEMPT,PD,PROPERTY DAMAGE,YP,U2
244112,B,G,1,4,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,I7
326085,U,N,3,2,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,YP,I4
516194,M,M,2,5,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,1A
308181,O,G,1,4,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,YP,I4
714051,M,G,5,5,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,5
879946,A,M,5,3,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,3
322158,I,N,4,3,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,2
364600,A,N,2,1,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,DC,3
497944,I,M,3,5,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,U2
118965,H,M,3,2,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,CU
630357,M,G,1,2,42,CRIMINAL ATTEMPT,PD,PROPERTY DAMAGE,YP,CU
591685,H,H,3,3,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,DC,2
452775,W,M,3,3,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,U2
721869,H,M,4,4,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,1A
906037,A,N,1,3,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,5
751233,B,G,5,5,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,U2
759442,W,H,2,2,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,CU
232368,O,N,5,2,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,DC,1
573836,W,M,4,1,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,SF,21
436301,W,M,2,3,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,3
567322,U,M,2,3,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,YP,I4
627303,W,N,2,5,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,5
124072,I,N,5,2,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,DC,2
280093,W,H,2,1,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,5
690156,U,H,5,1,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,SF,24
672298,H,G,3,5,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,DC,2
224969,B,H,4,1,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,YP,L2
962739,W,G,5,2,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,YP,CU
195802,A,N,3,4,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,SF,7
305993,H,G,3,4,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,L2
268354,W,N,4,5,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,2
782763,B,G,2,4,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,SF,6
383343,W,N,2,4,42,CRIMINAL ATTEMPT,AC,ACT OF SABOTAGE,DC,2
997810,W,M,1,2,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,YP,CU
662893,W,N,3,2,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,SF,3
227181,A,N,4,1,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,SF,2
712241,B,M,2,4,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,SF,7
648794,M,H,1,5,42,CRIMINAL ATTEMPT,UF,USE OF FORCE,SF,23
877281,A,M,1,5,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,YP,I7
919597,H,N,2,2,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,SF,32
509302,I,G,3,4,42,CRIMINAL ATTEMPT,SV,SEXUAL ACT,SF,1
116405,M,M,3,1,42,CRIMINAL ATTEMPT,ES,ESCAPE W/ FORCE,DC,2
752968,O,M,5,3,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,DC,5
617598,M,G,3,3,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,SF,24
491813,B,M,1,5,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,1A
580358,U,H,2,3,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,DC,5
313757,O,H,2,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,CU
980272,U,M,2,1,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,DC,2
537937,O,M,4,2,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,35
478387,I,M,2,2,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,DC,1
424239,O,H,2,4,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,DC,4
411790,U,G,2,4,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,YP,L2
604748,B,N,4,3,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,U2
332448,O,G,1,5,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,DC,3
471015,I,N,5,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,1A
174877,U,G,5,1,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,DC,3
146337,O,N,4,3,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,23
360557,O,M,4,4,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,SF,31
375658,M,N,5,3,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,SF,7
944100,A,H,2,2,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,SF,21
541761,U,M,1,1,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,U2
335523,H,H,3,5,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,YP,I4
935129,B,M,5,5,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,DC,2
442574,A,N,3,1,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,L2
478246,W,N,2,2,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,SF,31
821111,H,M,4,5,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,SF,1
994557,U,H,4,3,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,YP,I7
461502,U,M,5,1,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,CU
399449,A,N,4,2,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,35
725676,B,N,5,1,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,CU
804108,B,H,3,4,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,1A
545307,W,G,3,4,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,SF,23
168008,O,H,2,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,U2
886624,A,M,1,2,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,1
526127,I,M,3,2,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,SF,36
788287,M,N,3,2,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,CU
580424,A,M,1,5,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,I4
384274,U,N,3,3,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,SF,23
607563,I,H,5,4,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,I4
529450,B,G,4,3,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,YP,CU
719457,A,N,3,2,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,1A
550107,A,N,3,1,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,SF,8
955449,A,M,3,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,L2
209030,A,N,4,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,SF,34
502681,U,G,1,5,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,DC,1
841917,M,H,4,1,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,34
705738,B,N,2,2,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,SF,5
341412,U,M,5,5,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,SF,5
187336,I,N,2,4,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,DC,2
498236,A,N,4,1,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,DC,4
651546,U,N,4,3,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,DC,5
155222,O,M,5,1,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,L2
807451,W,G,2,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,YP,1A
173140,M,H,3,5,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,YP,L2
990363,A,H,4,3,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,L2
361039,M,H,1,1,2,HOMICIDE-VEHICULAR,AC,ACT OF SABOTAGE,YP,I4
318851,W,G,5,2,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,YP,L2
377943,B,H,1,3,2,HOMICIDE-VEHICULAR,PD,PROPERTY DAMAGE,DC,5
593025,O,H,3,2,2,HOMICIDE-VEHICULAR,UF,USE OF FORCE,YP,U2
654455,H,H,5,3,2,HOMICIDE-VEHICULAR,ES,ESCAPE W/ FORCE,SF,1
886651,B,H,3,4,2,HOMICIDE-VEHICULAR,SV,SEXUAL ACT,YP,L2
225979,H,N,3,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,3
825656,A,N,1,1,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,4
261641,B,H,5,5,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,21
298553,W,G,1,4,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,8
444682,I,N,4,5,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,SF,23
717617,O,N,1,1,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,34
461275,A,H,4,2,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,SF,3
644429,M,M,4,5,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,DC,3
281639,I,M,2,2,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,SF,4
788754,B,G,2,4,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,YP,I7
181873,W,G,5,4,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,YP,1A
385672,I,G,4,3,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,DC,3
561877,W,G,3,5,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,DC,1
843136,B,N,1,3,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,YP,1A
657452,M,M,5,2,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,1
